"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://vouch-mobile-site-fz5pc.kinsta.page/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/compare/vouch-vs-mint-mobile/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/compare/vouch-vs-mint-mobile/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/compare/vouch-vs-cricket/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/compare/vouch-vs-cricket/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/about/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/about/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/plans/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/plans/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/contact/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/contact/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/faq/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/faq/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/compare/vouch-vs-visible/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/compare/vouch-vs-visible/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/compare/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/compare/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/how-to-port-your-phone-number-complete-guide-2026/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/how-to-port-your-phone-number-complete-guide-2026/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/prepaid-vs-postpaid-plans-which-is-better-in-2026/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/prepaid-vs-postpaid-plans-which-is-better-in-2026/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/best-phone-plans-for-small-business-owners-2026/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/best-phone-plans-for-small-business-owners-2026/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/esim-vs-physical-sim-which-is-right-for-you/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/esim-vs-physical-sim-which-is-right-for-you/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/first-phone-plan-guide-what-to-know-before-you-sign-up/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/first-phone-plan-guide-what-to-know-before-you-sign-up/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/how-to-switch-phone-carriers-without-losing-your-number/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/how-to-switch-phone-carriers-without-losing-your-number/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/best-phones-for-prepaid-plans-2026-top-10-unlocked-phones/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/best-phones-for-prepaid-plans-2026-top-10-unlocked-phones/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/best-phone-plans-for-travelers-2026/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/best-phone-plans-for-travelers-2026/","","","","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/blog/how-to-unlock-your-phone-carrier-unlock-guide-2026/","1","Non-Indexable","Canonicalised","https://vouchmobile.com/blog/how-to-unlock-your-phone-carrier-unlock-guide-2026/","","","","","","",""
